museum,year,month,visits
TOTAL VISITOR FIGURES,2004,4,0
TOTAL VISITOR FIGURES,2004,5,0
TOTAL VISITOR FIGURES,2004,6,0
TOTAL VISITOR FIGURES,2004,7,0
TOTAL VISITOR FIGURES,2004,8,0
TOTAL VISITOR FIGURES,2004,9,0
TOTAL VISITOR FIGURES,2004,10,0
TOTAL VISITOR FIGURES,2004,11,0
TOTAL VISITOR FIGURES,2004,12,0
TOTAL VISITOR FIGURES,2005,1,0
TOTAL VISITOR FIGURES,2005,2,0
TOTAL VISITOR FIGURES,2005,3,0
TOTAL VISITOR FIGURES,2005,4,0
TOTAL VISITOR FIGURES,2005,5,0
TOTAL VISITOR FIGURES,2005,6,0
TOTAL VISITOR FIGURES,2005,7,0
TOTAL VISITOR FIGURES,2005,8,0
TOTAL VISITOR FIGURES,2005,9,0
TOTAL VISITOR FIGURES,2005,10,0
TOTAL VISITOR FIGURES,2005,11,0
TOTAL VISITOR FIGURES,2005,12,0
TOTAL VISITOR FIGURES,2006,1,0
TOTAL VISITOR FIGURES,2006,2,0
TOTAL VISITOR FIGURES,2006,3,0
TOTAL VISITOR FIGURES,2006,4,0
TOTAL VISITOR FIGURES,2006,5,0
TOTAL VISITOR FIGURES,2006,6,0
TOTAL VISITOR FIGURES,2006,7,0
TOTAL VISITOR FIGURES,2006,8,0
TOTAL VISITOR FIGURES,2006,9,0
TOTAL VISITOR FIGURES,2006,10,0
TOTAL VISITOR FIGURES,2006,11,0
TOTAL VISITOR FIGURES,2006,12,0
TOTAL VISITOR FIGURES,2007,1,0
TOTAL VISITOR FIGURES,2007,2,0
TOTAL VISITOR FIGURES,2007,3,0
TOTAL VISITOR FIGURES,2007,4,0
TOTAL VISITOR FIGURES,2007,5,0
TOTAL VISITOR FIGURES,2007,6,0
TOTAL VISITOR FIGURES,2007,7,0
TOTAL VISITOR FIGURES,2007,8,0
TOTAL VISITOR FIGURES,2007,9,0
TOTAL VISITOR FIGURES,2007,10,0
TOTAL VISITOR FIGURES,2007,11,0
TOTAL VISITOR FIGURES,2007,12,0
TOTAL VISITOR FIGURES,2008,1,0
TOTAL VISITOR FIGURES,2008,2,0
TOTAL VISITOR FIGURES,2008,3,0
TOTAL VISITOR FIGURES,2008,4,"3,312,345"
TOTAL VISITOR FIGURES,2008,5,"3,285,391"
TOTAL VISITOR FIGURES,2008,6,"3,034,749"
TOTAL VISITOR FIGURES,2008,7,"3,969,339"
TOTAL VISITOR FIGURES,2008,8,"4,861,537"
TOTAL VISITOR FIGURES,2008,9,"2,850,841"
TOTAL VISITOR FIGURES,2008,10,"3,636,199"
TOTAL VISITOR FIGURES,2008,11,"2,931,706"
TOTAL VISITOR FIGURES,2008,12,"2,499,800"
TOTAL VISITOR FIGURES,2009,1,"2,785,923"
TOTAL VISITOR FIGURES,2009,2,"3,153,752"
TOTAL VISITOR FIGURES,2009,3,"3,346,689"
TOTAL VISITOR FIGURES,2009,4,"3,637,402"
TOTAL VISITOR FIGURES,2009,5,"3,442,322"
TOTAL VISITOR FIGURES,2009,6,"3,148,834"
TOTAL VISITOR FIGURES,2009,7,"4,143,547"
TOTAL VISITOR FIGURES,2009,8,"4,699,363"
TOTAL VISITOR FIGURES,2009,9,"3,015,932"
TOTAL VISITOR FIGURES,2009,10,"3,785,852"
TOTAL VISITOR FIGURES,2009,11,"2,996,818"
TOTAL VISITOR FIGURES,2009,12,"2,722,890"
TOTAL VISITOR FIGURES,2010,1,"2,880,185"
TOTAL VISITOR FIGURES,2010,2,"3,486,113"
TOTAL VISITOR FIGURES,2010,3,"3,490,065"
TOTAL VISITOR FIGURES,2010,4,"3,767,428"
TOTAL VISITOR FIGURES,2010,5,"3,654,154"
TOTAL VISITOR FIGURES,2010,6,"3,364,215"
TOTAL VISITOR FIGURES,2010,7,"4,416,491"
TOTAL VISITOR FIGURES,2010,8,"5,130,433"
TOTAL VISITOR FIGURES,2010,9,"3,156,509"
TOTAL VISITOR FIGURES,2010,10,"4,100,724"
TOTAL VISITOR FIGURES,2010,11,"3,071,627"
TOTAL VISITOR FIGURES,2010,12,"2,463,997"
TOTAL VISITOR FIGURES,2011,1,"3,024,445"
TOTAL VISITOR FIGURES,2011,2,"3,534,827"
TOTAL VISITOR FIGURES,2011,3,"3,440,533"
TOTAL VISITOR FIGURES,2011,4,"3,540,568"
TOTAL VISITOR FIGURES,2011,5,"3,247,811"
TOTAL VISITOR FIGURES,2011,6,"3,449,439"
TOTAL VISITOR FIGURES,2011,7,"4,653,890"
TOTAL VISITOR FIGURES,2011,8,"4,944,777"
TOTAL VISITOR FIGURES,2011,9,"3,222,540"
TOTAL VISITOR FIGURES,2011,10,"4,013,545"
TOTAL VISITOR FIGURES,2011,11,"2,989,311"
TOTAL VISITOR FIGURES,2011,12,"2,895,227"
TOTAL VISITOR FIGURES,2012,1,"3,180,980"
TOTAL VISITOR FIGURES,2012,2,"3,722,433"
TOTAL VISITOR FIGURES,2012,3,"3,643,451"
TOTAL VISITOR FIGURES,2012,4,"4,838,882"
TOTAL VISITOR FIGURES,2012,5,"3,771,395"
TOTAL VISITOR FIGURES,2012,6,"4,044,061"
TOTAL VISITOR FIGURES,2012,7,"4,109,281"
TOTAL VISITOR FIGURES,2012,8,"4,495,382"
TOTAL VISITOR FIGURES,2012,9,"3,664,683"
TOTAL VISITOR FIGURES,2012,10,"4,110,254"
TOTAL VISITOR FIGURES,2012,11,"3,521,885"
TOTAL VISITOR FIGURES,2012,12,"3,054,901"
TOTAL VISITOR FIGURES,2013,1,"3,020,211"
TOTAL VISITOR FIGURES,2013,2,"3,897,802"
TOTAL VISITOR FIGURES,2013,3,"4,482,450"
TOTAL VISITOR FIGURES,2013,4,"4,464,545"
TOTAL VISITOR FIGURES,2013,5,"4,338,696"
TOTAL VISITOR FIGURES,2013,6,"3,986,776"
TOTAL VISITOR FIGURES,2013,7,"4,868,366"
TOTAL VISITOR FIGURES,2013,8,"5,340,599"
TOTAL VISITOR FIGURES,2013,9,"3,700,262"
TOTAL VISITOR FIGURES,2013,10,"4,144,185"
TOTAL VISITOR FIGURES,2013,11,"3,385,428"
TOTAL VISITOR FIGURES,2013,12,"3,123,180"
TOTAL VISITOR FIGURES,2014,1,"3,314,726"
TOTAL VISITOR FIGURES,2014,2,"4,092,236"
TOTAL VISITOR FIGURES,2014,3,"4,068,545"
TOTAL VISITOR FIGURES,2014,4,"4,585,324"
TOTAL VISITOR FIGURES,2014,5,"4,453,059"
TOTAL VISITOR FIGURES,2014,6,"4,086,691"
TOTAL VISITOR FIGURES,2014,7,"4,957,581"
TOTAL VISITOR FIGURES,2014,8,"5,902,931"
TOTAL VISITOR FIGURES,2014,9,"3,796,009"
TOTAL VISITOR FIGURES,2014,10,"4,508,231"
TOTAL VISITOR FIGURES,2014,11,"3,695,648"
TOTAL VISITOR FIGURES,2014,12,"3,338,681"
TOTAL VISITOR FIGURES,2015,1,"3,491,444"
TOTAL VISITOR FIGURES,2015,2,"3,931,629"
TOTAL VISITOR FIGURES,2015,3,"4,093,317"
TOTAL VISITOR FIGURES,2015,4,"4,269,972"
TOTAL VISITOR FIGURES,2015,5,"4,353,695"
TOTAL VISITOR FIGURES,2015,6,"3,881,545"
TOTAL VISITOR FIGURES,2015,7,"4,959,664"
TOTAL VISITOR FIGURES,2015,8,"5,056,744"
TOTAL VISITOR FIGURES,2015,9,"3,568,633"
TOTAL VISITOR FIGURES,2015,10,"4,129,558"
TOTAL VISITOR FIGURES,2015,11,"3,286,678"
TOTAL VISITOR FIGURES,2015,12,"3,002,078"
TOTAL VISITOR FIGURES,2016,1,"3,172,008"
TOTAL VISITOR FIGURES,2016,2,"3,846,220"
TOTAL VISITOR FIGURES,2016,3,"4,148,212"
TOTAL VISITOR FIGURES,2016,4,"3,934,782"
TOTAL VISITOR FIGURES,2016,5,"3,596,291"
TOTAL VISITOR FIGURES,2016,6,"3,959,549"
TOTAL VISITOR FIGURES,2016,7,"4,805,539"
TOTAL VISITOR FIGURES,2016,8,"4,943,777"
TOTAL VISITOR FIGURES,2016,9,"3,613,011"
TOTAL VISITOR FIGURES,2016,10,"4,449,493"
TOTAL VISITOR FIGURES,2016,11,"3,424,767"
TOTAL VISITOR FIGURES,2016,12,"3,375,506"
TOTAL VISITOR FIGURES,2017,1,"3,299,349"
TOTAL VISITOR FIGURES,2017,2,"3,938,956"
TOTAL VISITOR FIGURES,2017,3,"3,971,750"
TOTAL VISITOR FIGURES,2017,4,"4,655,089"
TOTAL VISITOR FIGURES,2017,5,"3,931,937"
TOTAL VISITOR FIGURES,2017,6,"3,561,583"
TOTAL VISITOR FIGURES,2017,7,"4,611,701"
TOTAL VISITOR FIGURES,2017,8,"4,768,548"
TOTAL VISITOR FIGURES,2017,9,"3,568,291"
TOTAL VISITOR FIGURES,2017,10,"4,033,412"
TOTAL VISITOR FIGURES,2017,11,"3,250,673"
TOTAL VISITOR FIGURES,2017,12,"3,137,636"
TOTAL VISITOR FIGURES,2018,1,"3,270,268"
TOTAL VISITOR FIGURES,2018,2,"3,870,963"
TOTAL VISITOR FIGURES,2018,3,"3,988,390"
TOTAL VISITOR FIGURES,2018,4,"4,519,303"
TOTAL VISITOR FIGURES,2018,5,"3,936,159"
TOTAL VISITOR FIGURES,2018,6,"3,893,046"
TOTAL VISITOR FIGURES,2018,7,"4,744,392"
BRITISH MUSEUM,2004,4,"403,841"
BRITISH MUSEUM,2004,5,"367,435"
BRITISH MUSEUM,2004,6,"352,583"
BRITISH MUSEUM,2004,7,"504,251"
BRITISH MUSEUM,2004,8,"490,457"
BRITISH MUSEUM,2004,9,"360,254"
BRITISH MUSEUM,2004,10,"455,236"
BRITISH MUSEUM,2004,11,"387,258"
BRITISH MUSEUM,2004,12,"396,783"
BRITISH MUSEUM,2005,1,"327,033"
BRITISH MUSEUM,2005,2,"367,113"
BRITISH MUSEUM,2005,3,"365,956"
BRITISH MUSEUM,2005,4,"372,676"
BRITISH MUSEUM,2005,5,"414,362"
BRITISH MUSEUM,2005,6,"390,743"
BRITISH MUSEUM,2005,7,"400,081"
BRITISH MUSEUM,2005,8,"359,917"
BRITISH MUSEUM,2005,9,"320,651"
BRITISH MUSEUM,2005,10,"405,798"
BRITISH MUSEUM,2005,11,"365,994"
BRITISH MUSEUM,2005,12,"377,364"
BRITISH MUSEUM,2006,1,"360,700"
BRITISH MUSEUM,2006,2,"328,462"
BRITISH MUSEUM,2006,3,"388,734"
BRITISH MUSEUM,2006,4,"431,430"
BRITISH MUSEUM,2006,5,"443,157"
BRITISH MUSEUM,2006,6,"442,917"
BRITISH MUSEUM,2006,7,"484,378"
BRITISH MUSEUM,2006,8,"473,701"
BRITISH MUSEUM,2006,9,"363,569"
BRITISH MUSEUM,2006,10,"399,860"
BRITISH MUSEUM,2006,11,"354,909"
BRITISH MUSEUM,2006,12,"366,105"
BRITISH MUSEUM,2007,1,"351,099"
BRITISH MUSEUM,2007,2,"368,636"
BRITISH MUSEUM,2007,3,"422,498"
BRITISH MUSEUM,2007,4,"400,735"
BRITISH MUSEUM,2007,5,"431,701"
BRITISH MUSEUM,2007,6,"401,792"
BRITISH MUSEUM,2007,7,"470,926"
BRITISH MUSEUM,2007,8,"500,509"
BRITISH MUSEUM,2007,9,"481,784"
BRITISH MUSEUM,2007,10,"555,695"
BRITISH MUSEUM,2007,11,"509,191"
BRITISH MUSEUM,2007,12,"523,699"
BRITISH MUSEUM,2008,1,"546,448"
BRITISH MUSEUM,2008,2,"580,093"
BRITISH MUSEUM,2008,3,"635,357"
BRITISH MUSEUM,2008,4,"455,743"
BRITISH MUSEUM,2008,5,"448,441"
BRITISH MUSEUM,2008,6,"389,540"
BRITISH MUSEUM,2008,7,"552,341"
BRITISH MUSEUM,2008,8,"582,018"
BRITISH MUSEUM,2008,9,"443,478"
BRITISH MUSEUM,2008,10,"526,540"
BRITISH MUSEUM,2008,11,"384,757"
BRITISH MUSEUM,2008,12,"376,555"
BRITISH MUSEUM,2009,1,"410,003"
BRITISH MUSEUM,2009,2,"417,681"
BRITISH MUSEUM,2009,3,"478,764"
BRITISH MUSEUM,2009,4,"508,408"
BRITISH MUSEUM,2009,5,"471,666"
BRITISH MUSEUM,2009,6,"460,450"
BRITISH MUSEUM,2009,7,"567,216"
BRITISH MUSEUM,2009,8,"549,704"
BRITISH MUSEUM,2009,9,"416,677"
BRITISH MUSEUM,2009,10,"499,376"
BRITISH MUSEUM,2009,11,"384,851"
BRITISH MUSEUM,2009,12,"405,153"
BRITISH MUSEUM,2010,1,"402,611"
BRITISH MUSEUM,2010,2,"457,606"
BRITISH MUSEUM,2010,3,"519,990"
BRITISH MUSEUM,2010,4,"513,323"
BRITISH MUSEUM,2010,5,"539,734"
BRITISH MUSEUM,2010,6,"461,935"
BRITISH MUSEUM,2010,7,"601,719"
BRITISH MUSEUM,2010,8,"596,630"
BRITISH MUSEUM,2010,9,"432,671"
BRITISH MUSEUM,2010,10,"490,251"
BRITISH MUSEUM,2010,11,"430,562"
BRITISH MUSEUM,2010,12,"395,106"
BRITISH MUSEUM,2011,1,"414,782"
BRITISH MUSEUM,2011,2,"460,670"
BRITISH MUSEUM,2011,3,"532,013"
BRITISH MUSEUM,2011,4,"495,739"
BRITISH MUSEUM,2011,5,"485,629"
BRITISH MUSEUM,2011,6,"526,789"
BRITISH MUSEUM,2011,7,"663,409"
BRITISH MUSEUM,2011,8,"617,343"
BRITISH MUSEUM,2011,9,"444,345"
BRITISH MUSEUM,2011,10,"494,480"
BRITISH MUSEUM,2011,11,"342,734"
BRITISH MUSEUM,2011,12,"370,601"
BRITISH MUSEUM,2012,1,"408,567"
BRITISH MUSEUM,2012,2,"491,294"
BRITISH MUSEUM,2012,3,"500,728"
BRITISH MUSEUM,2012,4,"579,873"
BRITISH MUSEUM,2012,5,"462,164"
BRITISH MUSEUM,2012,6,"457,906"
BRITISH MUSEUM,2012,7,"493,439"
BRITISH MUSEUM,2012,8,"480,136"
BRITISH MUSEUM,2012,9,"443,538"
BRITISH MUSEUM,2012,10,"491,908"
BRITISH MUSEUM,2012,11,"415,935"
BRITISH MUSEUM,2012,12,"350,458"
BRITISH MUSEUM,2013,1,"355,439"
BRITISH MUSEUM,2013,2,"463,939"
BRITISH MUSEUM,2013,3,"598,079"
BRITISH MUSEUM,2013,4,"644,605"
BRITISH MUSEUM,2013,5,"660,497"
BRITISH MUSEUM,2013,6,"579,950"
BRITISH MUSEUM,2013,7,"747,936"
BRITISH MUSEUM,2013,8,"739,711"
BRITISH MUSEUM,2013,9,"555,727"
BRITISH MUSEUM,2013,10,"533,444"
BRITISH MUSEUM,2013,11,"410,312"
BRITISH MUSEUM,2013,12,"411,397"
BRITISH MUSEUM,2014,1,"428,710"
BRITISH MUSEUM,2014,2,"457,379"
BRITISH MUSEUM,2014,3,"589,267"
BRITISH MUSEUM,2014,4,"641,259"
BRITISH MUSEUM,2014,5,"654,228"
BRITISH MUSEUM,2014,6,"596,527"
BRITISH MUSEUM,2014,7,"698,550"
BRITISH MUSEUM,2014,8,"702,997"
BRITISH MUSEUM,2014,9,"498,386"
BRITISH MUSEUM,2014,10,"586,248"
BRITISH MUSEUM,2014,11,"425,550"
BRITISH MUSEUM,2014,12,"416,112"
BRITISH MUSEUM,2015,1,"446,904"
BRITISH MUSEUM,2015,2,"477,719"
BRITISH MUSEUM,2015,3,"533,510"
BRITISH MUSEUM,2015,4,"600,774"
BRITISH MUSEUM,2015,5,"635,393"
BRITISH MUSEUM,2015,6,"601,099"
BRITISH MUSEUM,2015,7,"765,877"
BRITISH MUSEUM,2015,8,"717,386"
BRITISH MUSEUM,2015,9,"520,716"
BRITISH MUSEUM,2015,10,"624,066"
BRITISH MUSEUM,2015,11,"483,800"
BRITISH MUSEUM,2015,12,"413,442"
BRITISH MUSEUM,2016,1,"437,169"
BRITISH MUSEUM,2016,2,"497,950"
BRITISH MUSEUM,2016,3,"555,868"
BRITISH MUSEUM,2016,4,"530,029"
BRITISH MUSEUM,2016,5,"568,317"
BRITISH MUSEUM,2016,6,"567,555"
BRITISH MUSEUM,2016,7,"689,401"
BRITISH MUSEUM,2016,8,"635,353"
BRITISH MUSEUM,2016,9,"477,003"
BRITISH MUSEUM,2016,10,"541,954"
BRITISH MUSEUM,2016,11,"477,088"
BRITISH MUSEUM,2016,12,"442,708"
BRITISH MUSEUM,2017,1,"388,072"
BRITISH MUSEUM,2017,2,"420,134"
BRITISH MUSEUM,2017,3,"491,414"
BRITISH MUSEUM,2017,4,"549,563"
BRITISH MUSEUM,2017,5,"541,927"
BRITISH MUSEUM,2017,6,"557,991"
BRITISH MUSEUM,2017,7,"679,308"
BRITISH MUSEUM,2017,8,"591,149"
BRITISH MUSEUM,2017,9,"422,497"
BRITISH MUSEUM,2017,10,"479,492"
BRITISH MUSEUM,2017,11,"421,888"
BRITISH MUSEUM,2017,12,"363,281"
BRITISH MUSEUM,2018,1,"397,809"
BRITISH MUSEUM,2018,2,"385,277"
BRITISH MUSEUM,2018,3,"432,333"
BRITISH MUSEUM,2018,4,"472,113"
BRITISH MUSEUM,2018,5,"480,033"
BRITISH MUSEUM,2018,6,"503,433"
BRITISH MUSEUM,2018,7,"644,932"
GEFFRYE MUSEUM,2004,4,"6,599"
GEFFRYE MUSEUM,2004,5,"6,742"
GEFFRYE MUSEUM,2004,6,"5,517"
GEFFRYE MUSEUM,2004,7,"6,431"
GEFFRYE MUSEUM,2004,8,"5,998"
GEFFRYE MUSEUM,2004,9,"6,823"
GEFFRYE MUSEUM,2004,10,"6,988"
GEFFRYE MUSEUM,2004,11,"5,681"
GEFFRYE MUSEUM,2004,12,"10,897"
GEFFRYE MUSEUM,2005,1,"5,226"
GEFFRYE MUSEUM,2005,2,"6,728"
GEFFRYE MUSEUM,2005,3,"6,329"
GEFFRYE MUSEUM,2005,4,"5,778"
GEFFRYE MUSEUM,2005,5,"5,136"
GEFFRYE MUSEUM,2005,6,"5,371"
GEFFRYE MUSEUM,2005,7,"4,629"
GEFFRYE MUSEUM,2005,8,"5,004"
GEFFRYE MUSEUM,2005,9,"5,203"
GEFFRYE MUSEUM,2005,10,"6,194"
GEFFRYE MUSEUM,2005,11,"6,883"
GEFFRYE MUSEUM,2005,12,"11,527"
GEFFRYE MUSEUM,2006,1,"7,545"
GEFFRYE MUSEUM,2006,2,"10,378"
GEFFRYE MUSEUM,2006,3,"5,760"
GEFFRYE MUSEUM,2006,4,"5,381"
GEFFRYE MUSEUM,2006,5,"6,252"
GEFFRYE MUSEUM,2006,6,"4,531"
GEFFRYE MUSEUM,2006,7,"3,905"
GEFFRYE MUSEUM,2006,8,"5,145"
GEFFRYE MUSEUM,2006,9,"5,222"
GEFFRYE MUSEUM,2006,10,"4,407"
GEFFRYE MUSEUM,2006,11,"6,116"
GEFFRYE MUSEUM,2006,12,"13,423"
GEFFRYE MUSEUM,2007,1,"7,432"
GEFFRYE MUSEUM,2007,2,"6,858"
GEFFRYE MUSEUM,2007,3,"8,235"
GEFFRYE MUSEUM,2007,4,"6,227"
GEFFRYE MUSEUM,2007,5,"8,037"
GEFFRYE MUSEUM,2007,6,"6,556"
GEFFRYE MUSEUM,2007,7,"4,971"
GEFFRYE MUSEUM,2007,8,"5,774"
GEFFRYE MUSEUM,2007,9,"5,410"
GEFFRYE MUSEUM,2007,10,"6,830"
GEFFRYE MUSEUM,2007,11,"6,846"
GEFFRYE MUSEUM,2007,12,"10,156"
GEFFRYE MUSEUM,2008,1,"7,149"
GEFFRYE MUSEUM,2008,2,"6,560"
GEFFRYE MUSEUM,2008,3,"5,836"
GEFFRYE MUSEUM,2008,4,"5,365"
GEFFRYE MUSEUM,2008,5,"5,774"
GEFFRYE MUSEUM,2008,6,"5,522"
GEFFRYE MUSEUM,2008,7,"5,978"
GEFFRYE MUSEUM,2008,8,"6,482"
GEFFRYE MUSEUM,2008,9,"5,801"
GEFFRYE MUSEUM,2008,10,"7,449"
GEFFRYE MUSEUM,2008,11,"8,731"
GEFFRYE MUSEUM,2008,12,"13,183"
GEFFRYE MUSEUM,2009,1,"7,668"
GEFFRYE MUSEUM,2009,2,"7,072"
GEFFRYE MUSEUM,2009,3,"7,247"
GEFFRYE MUSEUM,2009,4,"7,294"
GEFFRYE MUSEUM,2009,5,"6,947"
GEFFRYE MUSEUM,2009,6,"5,744"
GEFFRYE MUSEUM,2009,7,"6,809"
GEFFRYE MUSEUM,2009,8,"6,646"
GEFFRYE MUSEUM,2009,9,"6,128"
GEFFRYE MUSEUM,2009,10,"7,917"
GEFFRYE MUSEUM,2009,11,"8,334"
GEFFRYE MUSEUM,2009,12,"13,132"
GEFFRYE MUSEUM,2010,1,"8,291"
GEFFRYE MUSEUM,2010,2,"8,480"
GEFFRYE MUSEUM,2010,3,"5,694"
GEFFRYE MUSEUM,2010,4,"8,223"
GEFFRYE MUSEUM,2010,5,"8,296"
GEFFRYE MUSEUM,2010,6,"7,859"
GEFFRYE MUSEUM,2010,7,"7,760"
GEFFRYE MUSEUM,2010,8,"7,232"
GEFFRYE MUSEUM,2010,9,"7,819"
GEFFRYE MUSEUM,2010,10,"9,127"
GEFFRYE MUSEUM,2010,11,"8,494"
GEFFRYE MUSEUM,2010,12,"12,392"
GEFFRYE MUSEUM,2011,1,"8,500"
GEFFRYE MUSEUM,2011,2,"8,613"
GEFFRYE MUSEUM,2011,3,"8,599"
GEFFRYE MUSEUM,2011,4,"7,970"
GEFFRYE MUSEUM,2011,5,"8,206"
GEFFRYE MUSEUM,2011,6,"8,256"
GEFFRYE MUSEUM,2011,7,"8,929"
GEFFRYE MUSEUM,2011,8,"9,200"
GEFFRYE MUSEUM,2011,9,"7,865"
GEFFRYE MUSEUM,2011,10,"8,104"
GEFFRYE MUSEUM,2011,11,"8,058"
GEFFRYE MUSEUM,2011,12,"14,657"
GEFFRYE MUSEUM,2012,1,"8,002"
GEFFRYE MUSEUM,2012,2,"7,883"
GEFFRYE MUSEUM,2012,3,"7,815"
GEFFRYE MUSEUM,2012,4,"8,654"
GEFFRYE MUSEUM,2012,5,"7,692"
GEFFRYE MUSEUM,2012,6,"7,323"
GEFFRYE MUSEUM,2012,7,"6,289"
GEFFRYE MUSEUM,2012,8,"7,812"
GEFFRYE MUSEUM,2012,9,"8,727"
GEFFRYE MUSEUM,2012,10,"8,952"
GEFFRYE MUSEUM,2012,11,"8,683"
GEFFRYE MUSEUM,2012,12,"13,715"
GEFFRYE MUSEUM,2013,1,"10,201"
GEFFRYE MUSEUM,2013,2,"8,957"
GEFFRYE MUSEUM,2013,3,"8,386"
GEFFRYE MUSEUM,2013,4,"9,362"
GEFFRYE MUSEUM,2013,5,"9,525"
GEFFRYE MUSEUM,2013,6,"7,953"
GEFFRYE MUSEUM,2013,7,"7,450"
GEFFRYE MUSEUM,2013,8,"10,049"
GEFFRYE MUSEUM,2013,9,"8,032"
GEFFRYE MUSEUM,2013,10,"9,223"
GEFFRYE MUSEUM,2013,11,"8,802"
GEFFRYE MUSEUM,2013,12,"15,571"
GEFFRYE MUSEUM,2014,1,"9,886"
GEFFRYE MUSEUM,2014,2,"9,291"
GEFFRYE MUSEUM,2014,3,"7,870"
GEFFRYE MUSEUM,2014,4,"9,981"
GEFFRYE MUSEUM,2014,5,"10,135"
GEFFRYE MUSEUM,2014,6,"7,546"
GEFFRYE MUSEUM,2014,7,"7,523"
GEFFRYE MUSEUM,2014,8,"11,123"
GEFFRYE MUSEUM,2014,9,"7,191"
GEFFRYE MUSEUM,2014,10,"9,245"
GEFFRYE MUSEUM,2014,11,"8,282"
GEFFRYE MUSEUM,2014,12,"13,070"
GEFFRYE MUSEUM,2015,1,"8,644"
GEFFRYE MUSEUM,2015,2,"7,535"
GEFFRYE MUSEUM,2015,3,"7,893"
GEFFRYE MUSEUM,2015,4,"8,567"
GEFFRYE MUSEUM,2015,5,"9,973"
GEFFRYE MUSEUM,2015,6,"7,126"
GEFFRYE MUSEUM,2015,7,"8,095"
GEFFRYE MUSEUM,2015,8,"8,941"
GEFFRYE MUSEUM,2015,9,"9,153"
GEFFRYE MUSEUM,2015,10,"9,594"
GEFFRYE MUSEUM,2015,11,"8,722"
GEFFRYE MUSEUM,2015,12,"16,992"
GEFFRYE MUSEUM,2016,1,"9,524"
GEFFRYE MUSEUM,2016,2,"8,936"
GEFFRYE MUSEUM,2016,3,"8,567"
GEFFRYE MUSEUM,2016,4,"11,911"
GEFFRYE MUSEUM,2016,5,"10,614"
GEFFRYE MUSEUM,2016,6,"8,306"
GEFFRYE MUSEUM,2016,7,"8,679"
GEFFRYE MUSEUM,2016,8,"9,616"
GEFFRYE MUSEUM,2016,9,"9,858"
GEFFRYE MUSEUM,2016,10,"10,348"
GEFFRYE MUSEUM,2016,11,"8,202"
GEFFRYE MUSEUM,2016,12,"17,127"
GEFFRYE MUSEUM,2017,1,"9,529"
GEFFRYE MUSEUM,2017,2,"9,425"
GEFFRYE MUSEUM,2017,3,"8,155"
GEFFRYE MUSEUM,2017,4,"9,069"
GEFFRYE MUSEUM,2017,5,"11,076"
GEFFRYE MUSEUM,2017,6,"6,839"
GEFFRYE MUSEUM,2017,7,"13,473"
GEFFRYE MUSEUM,2017,8,"9,849"
GEFFRYE MUSEUM,2017,9,"9,807"
GEFFRYE MUSEUM,2017,10,"9,385"
GEFFRYE MUSEUM,2017,11,"15,014"
GEFFRYE MUSEUM,2017,12,"15,592"
GEFFRYE MUSEUM,2018,1,"14,580"
GEFFRYE MUSEUM,2018,2,85
GEFFRYE MUSEUM,2018,3,122
GEFFRYE MUSEUM,2018,4,240
GEFFRYE MUSEUM,2018,5,605
GEFFRYE MUSEUM,2018,6,"1,469"
GEFFRYE MUSEUM,2018,7,913
HORNIMAN MUSEUM (Excluding visits to the Garden),2004,4,"29,082"
HORNIMAN MUSEUM (Excluding visits to the Garden),2004,5,"26,920"
HORNIMAN MUSEUM (Excluding visits to the Garden),2004,6,"26,292"
HORNIMAN MUSEUM (Excluding visits to the Garden),2004,7,"30,754"
HORNIMAN MUSEUM (Excluding visits to the Garden),2004,8,"37,070"
HORNIMAN MUSEUM (Excluding visits to the Garden),2004,9,"23,037"
HORNIMAN MUSEUM (Excluding visits to the Garden),2004,10,"27,200"
HORNIMAN MUSEUM (Excluding visits to the Garden),2004,11,"17,325"
HORNIMAN MUSEUM (Excluding visits to the Garden),2004,12,"16,560"
HORNIMAN MUSEUM (Excluding visits to the Garden),2005,1,"18,877"
HORNIMAN MUSEUM (Excluding visits to the Garden),2005,2,"27,225"
HORNIMAN MUSEUM (Excluding visits to the Garden),2005,3,"23,086"
HORNIMAN MUSEUM (Excluding visits to the Garden),2005,4,"22,371"
HORNIMAN MUSEUM (Excluding visits to the Garden),2005,5,"23,981"
HORNIMAN MUSEUM (Excluding visits to the Garden),2005,6,"23,739"
HORNIMAN MUSEUM (Excluding visits to the Garden),2005,7,"31,196"
HORNIMAN MUSEUM (Excluding visits to the Garden),2005,8,"36,276"
HORNIMAN MUSEUM (Excluding visits to the Garden),2005,9,"16,611"
HORNIMAN MUSEUM (Excluding visits to the Garden),2005,10,"27,244"
HORNIMAN MUSEUM (Excluding visits to the Garden),2005,11,"19,170"
HORNIMAN MUSEUM (Excluding visits to the Garden),2005,12,"15,861"
HORNIMAN MUSEUM (Excluding visits to the Garden),2006,1,"19,194"
HORNIMAN MUSEUM (Excluding visits to the Garden),2006,2,"24,929"
HORNIMAN MUSEUM (Excluding visits to the Garden),2006,3,"22,296"
HORNIMAN MUSEUM (Excluding visits to the Garden),2006,4,"27,718"
HORNIMAN MUSEUM (Excluding visits to the Garden),2006,5,"28,215"
HORNIMAN MUSEUM (Excluding visits to the Garden),2006,6,"23,637"
HORNIMAN MUSEUM (Excluding visits to the Garden),2006,7,"45,024"
